slug,instance,status,final_url
0xdata,,NO_HIT,
1%-of-nothing,,NO_HIT,
1-800-dentist,,NO_HIT,
1-800-flowers-com,,NO_HIT,
1-of-nothing,,NO_HIT,
1-page,,NO_HIT,
1-web-design,,NO_HIT,
10-downing-street,,NO_HIT,
10-foot-wave,,NO_HIT,
1000memories,,NO_HIT,
1000museums,,NO_HIT,
1001-menus,,NO_HIT,
1006-tv,,NO_HIT,
100grams,,NO_HIT,
100plus,,NO_HIT,
10gen,,NO_HIT,
10x-genomics,,NO_HIT,
10x-technologies,,NO_HIT,
12-entrepreneuring,,NO_HIT,
121giving,,NO_HIT,
1226-digital,,NO_HIT,
123print,,NO_HIT,
12designer,,NO_HIT,
12seconds,,NO_HIT,
12society,,NO_HIT,
1366-technologies,,NO_HIT,
137,,NO_HIT,
137-ventures,,NO_HIT,
13th-lab,,NO_HIT,
140-proof,,NO_HIT,
140fire,,NO_HIT,
14w,,NO_HIT,
154,,NO_HIT,
15five,,NO_HIT,
160over90,,NO_HIT,
170-systems,,NO_HIT,
1776,,NO_HIT,
1871,,NO_HIT,
19pay,,NO_HIT,
1band-1brand,,NO_HIT,
1bog,,NO_HIT,
1daysports,,NO_HIT,
1energy,,NO_HIT,
1energy-systems,,NO_HIT,
1life-healthcare,,NO_HIT,
1mainstream,,NO_HIT,
1st-round,,NO_HIT,
1st-silicon,,NO_HIT,
1stdibs,,NO_HIT,
1to1,,NO_HIT,
1to1-venture-partners,,NO_HIT,
1world-online,,NO_HIT,
2-degrees,,NO_HIT,
2-degrees-ventures,,NO_HIT,
2020-ventures,,NO_HIT,
20dollarbanners,,NO_HIT,
20k-industries,,NO_HIT,
20n,,NO_HIT,
20x200,,NO_HIT,
21,,NO_HIT,
21-ct,,NO_HIT,
21-inc,,NO_HIT,
21-vianet,,NO_HIT,
212,,NO_HIT,
212-ventures,,NO_HIT,
21212,,NO_HIT,
21ct,,NO_HIT,
21e6,,NO_HIT,
21st-century-fox,,NO_HIT,
21st-century-internet-group-inc,,NO_HIT,
21ventures,,NO_HIT,
21vianet,,NO_HIT,
2345-com,,NO_HIT,
23andme,,NO_HIT,
23seed,,NO_HIT,
24-7,,NO_HIT,
24-7-customer,,NO_HIT,
24-7-real-media,,NO_HIT,
24m-technologies,,NO_HIT,
24x7-learning,,NO_HIT,
250ok,,NO_HIT,
25c,,NO_HIT,
25fifteen,,NO_HIT,
27-perry,,NO_HIT,
280-north,,NO_HIT,
2b-angels,,NO_HIT,
2e-systems-gmbh,,NO_HIT,
2lemetry,,NO_HIT,
2m-companies,,NO_HIT,
2oc,,NO_HIT,
2redbeans,,NO_HIT,
2redbeans-com,,NO_HIT,
2tor,,NO_HIT,
2u,,NO_HIT,
2u-inc,,NO_HIT,
2wire,,NO_HIT,
3-arts-entertainment,,NO_HIT,
3-day-blinds,,NO_HIT,
3-day-startup,,NO_HIT,
3-v-biosciences,,NO_HIT,
